Invoice ID,City,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,gross margin percentage,gross income
871-79-8483,Mandalay,Male,Fashion accessories,94.13,5,23.5325,494.1825,Credit card,4.761904762,23.5325
149-71-6266,Mandalay,Male,Sports and travel,78.07,9,35.1315,737.7615,Cash,4.761904762,35.1315
640-49-2076,Mandalay,Male,Sports and travel,83.78,8,33.512,703.752,Cash,4.761904762,33.512
595-11-5460,Yangon,Male,Health and beauty,96.58,2,9.658,202.818,Credit card,4.761904762,9.658
183-56-6882,Naypyitaw,Female,Food and beverages,99.42,4,19.884,417.564,Ewallet,4.761904762,19.884
232-16-2483,Naypyitaw,Female,Sports and travel,68.12,1,3.406,71.526,Ewallet,4.761904762,3.406
129-29-8530,Yangon,Male,Sports and travel,62.62,5,15.655,328.755,Ewallet,4.761904762,15.655
272-65-1806,Yangon,Female,Electronic accessories,60.88,9,27.396,575.316,Ewallet,4.761904762,27.396
333-73-7901,Naypyitaw,Female,Health and beauty,54.92,8,21.968,461.328,Ewallet,4.761904762,21.968
777-82-7220,Mandalay,Male,Home and lifestyle,30.12,8,12.048,253.008,Cash,4.761904762,12.048
280-35-5823,Mandalay,Female,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,4.761904762,4.336
554-53-8700,Naypyitaw,Male,Home and lifestyle,56.11,2,5.611,117.831,Cash,4.761904762,5.611
354-25-5821,Mandalay,Female,Sports and travel,69.12,6,20.736,435.456,Cash,4.761904762,20.736
228-96-1411,Naypyitaw,Female,Food and beverages,98.7,8,39.48,829.08,Cash,4.761904762,39.48
617-15-4209,Naypyitaw,Male,Health and beauty,15.37,2,1.537,32.277,Cash,4.761904762,1.537
132-32-9879,Mandalay,Female,Electronic accessories,93.96,4,18.792,394.632,Cash,4.761904762,18.792
370-41-7321,Mandalay,Male,Health and beauty,56.69,9,25.5105,535.7205,Credit card,4.761904762,25.5105
727-46-3608,Mandalay,Female,Food and beverages,20.01,9,9.0045,189.0945,Ewallet,4.761904762,9.0045
669-54-1719,Mandalay,Male,Electronic accessories,18.93,6,5.679,119.259,Credit card,4.761904762,5.679
574-22-5561,Naypyitaw,Female,Fashion accessories,82.63,10,41.315,867.615,Ewallet,4.761904762,41.315
326-78-5178,Naypyitaw,Male,Food and beverages,91.4,7,31.99,671.79,Cash,4.761904762,31.99
162-48-8011,Yangon,Female,Food and beverages,44.59,5,11.1475,234.0975,Cash,4.761904762,11.1475
616-24-2851,Mandalay,Female,Fashion accessories,17.87,4,3.574,75.054,Ewallet,4.761904762,3.574
778-71-5554,Naypyitaw,Male,Fashion accessories,15.43,1,0.7715,16.2015,Credit card,4.761904762,0.7715
242-55-6721,Mandalay,Male,Home and lifestyle,16.16,2,1.616,33.936,Ewallet,4.761904762,1.616
399-46-5918,Naypyitaw,Female,Electronic accessories,85.98,8,34.392,722.232,Cash,4.761904762,34.392
106-35-6779,Yangon,Male,Home and lifestyle,44.34,2,4.434,93.114,Cash,4.761904762,4.434
635-40-6220,Yangon,Male,Health and beauty,89.6,8,35.84,752.64,Ewallet,4.761904762,35.84
817-48-8732,Yangon,Female,Home and lifestyle,72.35,10,36.175,759.675,Cash,4.761904762,36.175
120-06-4233,Naypyitaw,Male,Electronic accessories,30.61,6,9.183,192.843,Cash,4.761904762,9.183
285-68-5083,Naypyitaw,Female,Sports and travel,24.74,3,3.711,77.931,Credit card,4.761904762,3.711
803-83-5989,Naypyitaw,Male,Home and lifestyle,55.73,6,16.719,351.099,Ewallet,4.761904762,16.719
347-34-2234,Mandalay,Female,Sports and travel,55.07,9,24.7815,520.4115,Ewallet,4.761904762,24.7815
199-75-8169,Yangon,Male,Sports and travel,15.81,10,7.905,166.005,Credit card,4.761904762,7.905
853-23-2453,Mandalay,Male,Health and beauty,75.74,4,15.148,318.108,Cash,4.761904762,15.148
877-22-3308,Yangon,Male,Health and beauty,15.87,10,7.935,166.635,Cash,4.761904762,7.935
838-78-4295,Naypyitaw,Female,Health and beauty,33.47,2,3.347,70.287,Ewallet,4.761904762,3.347
109-28-2512,Mandalay,Female,Fashion accessories,97.61,6,29.283,614.943,Ewallet,4.761904762,29.283
232-11-3025,Yangon,Male,Sports and travel,78.77,10,39.385,827.085,Cash,4.761904762,39.385
382-03-4532,Yangon,Female,Health and beauty,18.33,1,0.9165,19.2465,Cash,4.761904762,0.9165
393-65-2792,Naypyitaw,Male,Food and beverages,89.48,10,44.74,939.54,Credit card,4.761904762,44.74
796-12-2025,Naypyitaw,Male,Fashion accessories,62.12,10,31.06,652.26,Cash,4.761904762,31.06
510-95-6347,Mandalay,Female,Food and beverages,48.52,3,7.278,152.838,Ewallet,4.761904762,7.278
841-35-6630,Naypyitaw,Female,Electronic accessories,75.91,6,22.773,478.233,Cash,4.761904762,22.773
287-21-9091,Yangon,Male,Home and lifestyle,74.67,9,33.6015,705.6315,Ewallet,4.761904762,33.6015
732-94-0499,Naypyitaw,Female,Electronic accessories,41.65,10,20.825,437.325,Credit card,4.761904762,20.825
263-10-3913,Naypyitaw,Male,Fashion accessories,49.04,9,22.068,463.428,Credit card,4.761904762,22.068
381-20-0914,Yangon,Female,Fashion accessories,20.01,9,9.0045,189.0945,Credit card,4.761904762,9.0045
829-49-1914,Naypyitaw,Female,Food and beverages,78.31,10,39.155,822.255,Ewallet,4.761904762,39.155
756-01-7507,Naypyitaw,Female,Health and beauty,20.38,5,5.095,106.995,Cash,4.761904762,5.095
870-72-4431,Naypyitaw,Female,Health and beauty,99.19,6,29.757,624.897,Credit card,4.761904762,29.757
847-38-7188,Mandalay,Female,Food and beverages,96.68,3,14.502,304.542,Ewallet,4.761904762,14.502
480-63-2856,Naypyitaw,Male,Food and beverages,19.25,8,7.7,161.7,Ewallet,4.761904762,7.7
787-56-0757,Naypyitaw,Female,Food and beverages,80.36,4,16.072,337.512,Credit card,4.761904762,16.072
360-39-5055,Naypyitaw,Male,Sports and travel,48.91,5,12.2275,256.7775,Cash,4.761904762,12.2275
730-50-9884,Naypyitaw,Female,Sports and travel,83.06,7,29.071,610.491,Ewallet,4.761904762,29.071
362-58-8315,Naypyitaw,Male,Fashion accessories,76.52,5,19.13,401.73,Cash,4.761904762,19.13
633-44-8566,Yangon,Male,Food and beverages,49.38,7,17.283,362.943,Credit card,4.761904762,17.283
504-35-8843,Yangon,Male,Sports and travel,42.47,1,2.1235,44.5935,Cash,4.761904762,2.1235
318-68-5053,Mandalay,Female,Health and beauty,76.99,6,23.097,485.037,Cash,4.761904762,23.097
565-80-5980,Naypyitaw,Female,Home and lifestyle,47.38,4,9.476,198.996,Cash,4.761904762,9.476
225-32-0908,Naypyitaw,Female,Sports and travel,44.86,10,22.43,471.03,Ewallet,4.761904762,22.43
873-51-0671,Yangon,Female,Sports and travel,21.98,7,7.693,161.553,Ewallet,4.761904762,7.693
152-08-9985,Mandalay,Male,Health and beauty,64.36,9,28.962,608.202,Credit card,4.761904762,28.962
512-91-0811,Naypyitaw,Male,Health and beauty,89.75,1,4.4875,94.2375,Credit card,4.761904762,4.4875
594-34-4444,Yangon,Male,Electronic accessories,97.16,1,4.858,102.018,Ewallet,4.761904762,4.858
766-85-7061,Mandalay,Male,Health and beauty,87.87,10,43.935,922.635,Ewallet,4.761904762,43.935
871-39-9221,Naypyitaw,Female,Electronic accessories,12.45,6,3.735,78.435,Cash,4.761904762,3.735
865-92-6136,Yangon,Male,Food and beverages,52.75,3,7.9125,166.1625,Ewallet,4.761904762,7.9125
733-01-9107,Mandalay,Male,Home and lifestyle,82.7,6,24.81,521.01,Cash,4.761904762,24.81
163-56-7055,Naypyitaw,Male,Fashion accessories,48.71,1,2.4355,51.1455,Cash,4.761904762,2.4355
189-98-2939,Naypyitaw,Male,Fashion accessories,78.55,9,35.3475,742.2975,Cash,4.761904762,35.3475
551-21-3069,Naypyitaw,Female,Electronic accessories,23.07,9,10.3815,218.0115,Cash,4.761904762,10.3815
212-62-1842,Yangon,Male,Food and beverages,58.26,6,17.478,367.038,Cash,4.761904762,17.478
716-39-1409,Mandalay,Male,Health and beauty,30.35,7,10.6225,223.0725,Cash,4.761904762,10.6225
704-48-3927,Yangon,Male,Electronic accessories,88.67,10,44.335,931.035,Ewallet,4.761904762,44.335
628-34-3388,Naypyitaw,Male,Fashion accessories,27.38,6,8.214,172.494,Credit card,4.761904762,8.214
630-74-5166,Yangon,Male,Sports and travel,62.13,6,18.639,391.419,Cash,4.761904762,18.639
588-01-7461,Naypyitaw,Female,Food and beverages,33.98,9,15.291,321.111,Cash,4.761904762,15.291
861-77-0145,Naypyitaw,Male,Electronic accessories,81.97,10,40.985,860.685,Cash,4.761904762,40.985
479-26-8945,Mandalay,Female,Sports and travel,16.49,2,1.649,34.629,Ewallet,4.761904762,1.649
210-67-5886,Naypyitaw,Female,Health and beauty,98.21,3,14.7315,309.3615,Credit card,4.761904762,14.7315
227-78-1148,Mandalay,Female,Fashion accessories,72.84,7,25.494,535.374,Cash,4.761904762,25.494
645-44-1170,Yangon,Male,Home and lifestyle,58.07,9,26.1315,548.7615,Ewallet,4.761904762,26.1315
237-01-6122,Naypyitaw,Female,Home and lifestyle,80.79,9,36.3555,763.4655,Credit card,4.761904762,36.3555
225-98-1496,Naypyitaw,Female,Fashion accessories,27.02,3,4.053,85.113,Credit card,4.761904762,4.053
291-32-1427,Mandalay,Male,Fashion accessories,21.94,5,5.485,115.185,Ewallet,4.761904762,5.485
659-65-8956,Mandalay,Male,Fashion accessories,51.36,1,2.568,53.928,Ewallet,4.761904762,2.568
642-32-2990,Yangon,Female,Food and beverages,10.96,10,5.48,115.08,Ewallet,4.761904762,5.48
378-24-2715,Mandalay,Male,Home and lifestyle,53.44,2,5.344,112.224,Ewallet,4.761904762,5.344
638-60-7125,Yangon,Female,Electronic accessories,99.56,8,39.824,836.304,Credit card,4.761904762,39.824
659-36-1684,Naypyitaw,Male,Sports and travel,57.12,7,19.992,419.832,Credit card,4.761904762,19.992
219-22-9386,Mandalay,Male,Sports and travel,99.96,9,44.982,944.622,Credit card,4.761904762,44.982
336-78-2147,Naypyitaw,Male,Home and lifestyle,63.91,8,25.564,536.844,Credit card,4.761904762,25.564
268-27-6179,Mandalay,Female,Fashion accessories,56.47,8,22.588,474.348,Ewallet,4.761904762,22.588
668-90-8900,Yangon,Female,Home and lifestyle,93.69,7,32.7915,688.6215,Credit card,4.761904762,32.7915
870-54-3162,Yangon,Female,Sports and travel,32.25,5,8.0625,169.3125,Cash,4.761904762,8.0625
189-08-9157,Naypyitaw,Female,Fashion accessories,31.73,9,14.2785,299.8485,Credit card,4.761904762,14.2785
663-86-9076,Naypyitaw,Female,Food and beverages,68.54,8,27.416,575.736,Ewallet,4.761904762,27.416
549-84-7482,Mandalay,Female,Sports and travel,90.28,9,40.626,853.146,Ewallet,4.761904762,40.626
191-10-6171,Mandalay,Female,Fashion accessories,39.62,7,13.867,291.207,Cash,4.761904762,13.867
802-70-5316,Yangon,Female,Sports and travel,92.13,6,27.639,580.419,Cash,4.761904762,27.639
695-51-0018,Mandalay,Female,Sports and travel,34.84,4,6.968,146.328,Cash,4.761904762,6.968
590-83-4591,Mandalay,Male,Electronic accessories,87.45,6,26.235,550.935,Credit card,4.761904762,26.235
483-71-1164,Naypyitaw,Female,Health and beauty,81.3,6,24.39,512.19,Ewallet,4.761904762,24.39
597-78-7908,Naypyitaw,Male,Fashion accessories,90.22,3,13.533,284.193,Cash,4.761904762,13.533
700-81-1757,Yangon,Female,Electronic accessories,26.31,5,6.5775,138.1275,Credit card,4.761904762,6.5775
354-39-5160,Yangon,Female,Home and lifestyle,34.42,6,10.326,216.846,Cash,4.761904762,10.326
241-72-9525,Mandalay,Male,Sports and travel,51.91,10,25.955,545.055,Cash,4.761904762,25.955
575-30-8091,Yangon,Male,Sports and travel,72.5,8,29,609,Ewallet,4.761904762,29
731-81-9469,Naypyitaw,Female,Sports and travel,89.8,10,44.9,942.9,Credit card,4.761904762,44.9
280-17-4359,Naypyitaw,Male,Health and beauty,90.5,10,45.25,950.25,Cash,4.761904762,45.25
338-65-2210,Naypyitaw,Female,Health and beauty,68.6,10,34.3,720.3,Cash,4.761904762,34.3
488-25-4221,Naypyitaw,Female,Food and beverages,30.41,1,1.5205,31.9305,Credit card,4.761904762,1.5205
239-10-7476,Yangon,Female,Home and lifestyle,77.95,6,23.385,491.085,Ewallet,4.761904762,23.385
458-41-1477,Naypyitaw,Female,Health and beauty,46.26,6,13.878,291.438,Credit card,4.761904762,13.878
685-64-1609,Yangon,Female,Fashion accessories,30.14,10,15.07,316.47,Ewallet,4.761904762,15.07
568-90-5112,Naypyitaw,Male,Health and beauty,66.14,4,13.228,277.788,Credit card,4.761904762,13.228
262-47-2794,Mandalay,Male,Home and lifestyle,71.86,8,28.744,603.624,Credit card,4.761904762,28.744
238-49-0436,Yangon,Male,Health and beauty,32.46,8,12.984,272.664,Credit card,4.761904762,12.984
608-96-3517,Mandalay,Female,Fashion accessories,91.54,4,18.308,384.468,Credit card,4.761904762,18.308
584-86-7256,Naypyitaw,Male,Sports and travel,34.56,7,12.096,254.016,Credit card,4.761904762,12.096
746-94-0204,Yangon,Male,Fashion accessories,83.24,9,37.458,786.618,Credit card,4.761904762,37.458
214-17-6927,Naypyitaw,Female,Food and beverages,16.48,6,4.944,103.824,Ewallet,4.761904762,4.944
400-89-4171,Naypyitaw,Female,Sports and travel,80.97,8,32.388,680.148,Cash,4.761904762,32.388
782-95-9291,Yangon,Male,Food and beverages,92.29,5,23.0725,484.5225,Credit card,4.761904762,23.0725
279-74-2924,Mandalay,Male,Electronic accessories,72.17,1,3.6085,75.7785,Cash,4.761904762,3.6085
307-85-2293,Mandalay,Male,Home and lifestyle,50.28,5,12.57,263.97,Ewallet,4.761904762,12.57
743-04-1105,Mandalay,Male,Health and beauty,97.22,9,43.749,918.729,Ewallet,4.761904762,43.749
423-57-2993,Mandalay,Male,Sports and travel,93.39,6,28.017,588.357,Ewallet,4.761904762,28.017
894-41-5205,Naypyitaw,Female,Food and beverages,43.18,8,17.272,362.712,Credit card,4.761904762,17.272
275-28-0149,Yangon,Male,Sports and travel,63.69,1,3.1845,66.8745,Cash,4.761904762,3.1845
101-17-6199,Yangon,Male,Food and beverages,45.79,7,16.0265,336.5565,Credit card,4.761904762,16.0265
423-80-0988,Naypyitaw,Male,Sports and travel,76.4,2,7.64,160.44,Ewallet,4.761904762,7.64
548-46-9322,Mandalay,Male,Food and beverages,39.9,10,19.95,418.95,Credit card,4.761904762,19.95
505-02-0892,Mandalay,Male,Health and beauty,42.57,8,17.028,357.588,Ewallet,4.761904762,17.028
234-65-2137,Naypyitaw,Male,Home and lifestyle,95.58,10,47.79,1003.59,Cash,4.761904762,47.79
687-47-8271,Yangon,Male,Fashion accessories,98.98,10,49.49,1039.29,Credit card,4.761904762,49.49
796-32-9050,Yangon,Male,Food and beverages,51.28,6,15.384,323.064,Cash,4.761904762,15.384
105-31-1824,Yangon,Male,Sports and travel,69.52,7,24.332,510.972,Credit card,4.761904762,24.332
249-42-3782,Yangon,Male,Health and beauty,70.01,5,17.5025,367.5525,Ewallet,4.761904762,17.5025
316-55-4634,Mandalay,Male,Food and beverages,80.05,5,20.0125,420.2625,Credit card,4.761904762,20.0125
733-33-4967,Naypyitaw,Male,Electronic accessories,20.85,8,8.34,175.14,Cash,4.761904762,8.34
608-27-6295,Mandalay,Male,Electronic accessories,52.89,6,15.867,333.207,Credit card,4.761904762,15.867
414-12-7047,Mandalay,Male,Food and beverages,19.79,8,7.916,166.236,Ewallet,4.761904762,7.916
827-26-2100,Yangon,Male,Home and lifestyle,33.84,9,15.228,319.788,Ewallet,4.761904762,15.228
175-54-2529,Yangon,Male,Food and beverages,22.17,8,8.868,186.228,Credit card,4.761904762,8.868
139-52-2867,Naypyitaw,Female,Fashion accessories,22.51,7,7.8785,165.4485,Credit card,4.761904762,7.8785
407-63-8975,Yangon,Male,Food and beverages,73.88,6,22.164,465.444,Ewallet,4.761904762,22.164
342-65-4817,Naypyitaw,Male,Health and beauty,86.8,3,13.02,273.42,Ewallet,4.761904762,13.02
130-98-8941,Naypyitaw,Male,Fashion accessories,64.26,7,22.491,472.311,Cash,4.761904762,22.491
434-83-9547,Naypyitaw,Male,Food and beverages,38.47,8,15.388,323.148,Cash,4.761904762,15.388
851-28-6367,Yangon,Male,Sports and travel,15.5,10,7.75,162.75,Ewallet,4.761904762,7.75
824-88-3614,Naypyitaw,Male,Health and beauty,34.31,8,13.724,288.204,Ewallet,4.761904762,13.724
586-25-0848,Yangon,Female,Sports and travel,12.34,7,4.319,90.699,Credit card,4.761904762,4.319
895-66-0685,Mandalay,Male,Food and beverages,18.08,3,2.712,56.952,Ewallet,4.761904762,2.712
305-14-0245,Mandalay,Female,Home and lifestyle,94.49,8,37.796,793.716,Ewallet,4.761904762,37.796
732-04-5373,Mandalay,Male,Home and lifestyle,46.47,4,9.294,195.174,Cash,4.761904762,9.294
400-60-7251,Yangon,Male,Home and lifestyle,74.07,1,3.7035,77.7735,Ewallet,4.761904762,3.7035
593-65-1552,Naypyitaw,Female,Home and lifestyle,69.81,4,13.962,293.202,Credit card,4.761904762,13.962
284-34-9626,Mandalay,Female,Home and lifestyle,77.04,3,11.556,242.676,Credit card,4.761904762,11.556
437-58-8131,Mandalay,Female,Fashion accessories,73.52,2,7.352,154.392,Ewallet,4.761904762,7.352
286-43-6208,Naypyitaw,Female,Food and beverages,87.8,9,39.51,829.71,Cash,4.761904762,39.51
641-43-2399,Mandalay,Male,Home and lifestyle,25.55,4,5.11,107.31,Ewallet,4.761904762,5.11
831-07-6050,Yangon,Male,Electronic accessories,32.71,5,8.1775,171.7275,Credit card,4.761904762,8.1775
556-86-3144,Naypyitaw,Female,Fashion accessories,74.29,1,3.7145,78.0045,Cash,4.761904762,3.7145
848-24-9445,Naypyitaw,Male,Health and beauty,43.7,2,4.37,91.77,Cash,4.761904762,4.37
856-22-8149,Yangon,Female,Home and lifestyle,25.29,1,1.2645,26.5545,Ewallet,4.761904762,1.2645
699-01-4164,Naypyitaw,Male,Health and beauty,41.5,4,8.3,174.3,Credit card,4.761904762,8.3
420-11-4919,Naypyitaw,Female,Food and beverages,71.39,5,17.8475,374.7975,Credit card,4.761904762,17.8475
606-80-4905,Naypyitaw,Female,Sports and travel,19.15,6,5.745,120.645,Credit card,4.761904762,5.745
542-41-0513,Mandalay,Female,Electronic accessories,57.49,4,11.498,241.458,Cash,4.761904762,11.498
426-39-2418,Naypyitaw,Male,Electronic accessories,61.41,7,21.4935,451.3635,Cash,4.761904762,21.4935
875-46-5808,Mandalay,Male,Health and beauty,25.9,10,12.95,271.95,Ewallet,4.761904762,12.95
394-43-4238,Mandalay,Male,Home and lifestyle,17.77,5,4.4425,93.2925,Credit card,4.761904762,4.4425
749-24-1565,Yangon,Female,Health and beauty,23.03,9,10.3635,217.6335,Ewallet,4.761904762,10.3635
672-51-8681,Naypyitaw,Female,Electronic accessories,66.65,9,29.9925,629.8425,Credit card,4.761904762,29.9925
263-87-5680,Naypyitaw,Female,Home and lifestyle,28.53,10,14.265,299.565,Ewallet,4.761904762,14.265
573-58-9734,Mandalay,Female,Fashion accessories,30.37,3,4.5555,95.6655,Ewallet,4.761904762,4.5555
817-69-8206,Mandalay,Female,Electronic accessories,99.73,9,44.8785,942.4485,Credit card,4.761904762,44.8785
888-02-0338,Yangon,Male,Electronic accessories,26.23,9,11.8035,247.8735,Ewallet,4.761904762,11.8035
677-11-0152,Naypyitaw,Female,Food and beverages,93.26,9,41.967,881.307,Cash,4.761904762,41.967
142-63-6033,Mandalay,Male,Home and lifestyle,92.36,5,23.09,484.89,Ewallet,4.761904762,23.09
656-16-1063,Mandalay,Male,Sports and travel,46.42,3,6.963,146.223,Credit card,4.761904762,6.963
891-58-8335,Mandalay,Female,Sports and travel,29.61,7,10.3635,217.6335,Cash,4.761904762,10.3635
802-43-8934,Yangon,Male,Home and lifestyle,18.28,1,0.914,19.194,Credit card,4.761904762,0.914
560-30-5617,Mandalay,Female,Sports and travel,24.77,5,6.1925,130.0425,Cash,4.761904762,6.1925
319-74-2561,Yangon,Female,Electronic accessories,94.64,3,14.196,298.116,Cash,4.761904762,14.196
549-03-9315,Mandalay,Male,Fashion accessories,94.87,8,37.948,796.908,Ewallet,4.761904762,37.948
790-29-1172,Mandalay,Female,Food and beverages,57.34,3,8.601,180.621,Credit card,4.761904762,8.601
239-36-3640,Mandalay,Male,Electronic accessories,45.35,6,13.605,285.705,Ewallet,4.761904762,13.605
468-01-2051,Mandalay,Male,Food and beverages,62.08,7,21.728,456.288,Ewallet,4.761904762,21.728
389-25-3394,Naypyitaw,Male,Electronic accessories,11.81,5,2.9525,62.0025,Cash,4.761904762,2.9525
279-62-1445,Naypyitaw,Female,Fashion accessories,12.54,1,0.627,13.167,Cash,4.761904762,0.627
213-72-6612,Yangon,Male,Food and beverages,43.25,2,4.325,90.825,Cash,4.761904762,4.325
746-68-6593,Naypyitaw,Female,Sports and travel,87.16,2,8.716,183.036,Credit card,4.761904762,8.716
836-82-5858,Mandalay,Male,Health and beauty,69.37,9,31.2165,655.5465,Ewallet,4.761904762,31.2165
583-72-1480,Naypyitaw,Male,Electronic accessories,37.06,4,7.412,155.652,Ewallet,4.761904762,7.412
466-61-5506,Mandalay,Female,Electronic accessories,90.7,6,27.21,571.41,Cash,4.761904762,27.21
721-86-6247,Yangon,Female,Home and lifestyle,63.42,8,25.368,532.728,Ewallet,4.761904762,25.368
289-65-5721,Mandalay,Female,Fashion accessories,81.37,2,8.137,170.877,Cash,4.761904762,8.137
545-46-3100,Mandalay,Female,Electronic accessories,10.59,3,1.5885,33.3585,Credit card,4.761904762,1.5885
418-02-5978,Mandalay,Female,Health and beauty,84.09,9,37.8405,794.6505,Cash,4.761904762,37.8405
269-04-5750,Mandalay,Male,Fashion accessories,73.82,4,14.764,310.044,Cash,4.761904762,14.764
157-13-5295,Yangon,Male,Health and beauty,51.94,10,25.97,545.37,Ewallet,4.761904762,25.97
645-78-8093,Yangon,Female,Sports and travel,93.14,2,9.314,195.594,Ewallet,4.761904762,9.314
211-30-9270,Naypyitaw,Male,Health and beauty,17.41,5,4.3525,91.4025,Credit card,4.761904762,4.3525
755-12-3214,Naypyitaw,Female,Fashion accessories,44.22,5,11.055,232.155,Credit card,4.761904762,11.055
346-84-3103,Mandalay,Female,Electronic accessories,13.22,5,3.305,69.405,Cash,4.761904762,3.305
478-06-7835,Yangon,Male,Fashion accessories,89.69,1,4.4845,94.1745,Ewallet,4.761904762,4.4845
540-11-4336,Yangon,Male,Food and beverages,24.94,9,11.223,235.683,Credit card,4.761904762,11.223
448-81-5016,Yangon,Male,Health and beauty,59.77,2,5.977,125.517,Credit card,4.761904762,5.977
142-72-4741,Naypyitaw,Male,Fashion accessories,93.2,2,9.32,195.72,Credit card,4.761904762,9.32
217-58-1179,Yangon,Male,Home and lifestyle,62.65,4,12.53,263.13,Cash,4.761904762,12.53
376-02-8238,Mandalay,Male,Home and lifestyle,93.87,8,37.548,788.508,Credit card,4.761904762,37.548
530-90-9855,Yangon,Male,Home and lifestyle,47.59,8,19.036,399.756,Cash,4.761904762,19.036
866-05-7563,Mandalay,Female,Electronic accessories,81.4,3,12.21,256.41,Cash,4.761904762,12.21
604-70-6476,Yangon,Male,Fashion accessories,17.94,5,4.485,94.185,Ewallet,4.761904762,4.485
799-71-1548,Yangon,Male,Electronic accessories,77.72,4,15.544,326.424,Credit card,4.761904762,15.544
785-13-7708,Mandalay,Male,Food and beverages,73.06,7,25.571,536.991,Credit card,4.761904762,25.571
845-51-0542,Mandalay,Male,Food and beverages,46.55,9,20.9475,439.8975,Ewallet,4.761904762,20.9475
662-47-5456,Naypyitaw,Male,Fashion accessories,35.19,10,17.595,369.495,Credit card,4.761904762,17.595
883-17-4236,Naypyitaw,Female,Sports and travel,14.39,2,1.439,30.219,Credit card,4.761904762,1.439
290-68-2984,Yangon,Male,Home and lifestyle,23.75,4,4.75,99.75,Cash,4.761904762,4.75
704-11-6354,Yangon,Male,Home and lifestyle,58.9,8,23.56,494.76,Cash,4.761904762,23.56
110-48-7033,Mandalay,Male,Fashion accessories,32.62,4,6.524,137.004,Cash,4.761904762,6.524
366-93-0948,Yangon,Male,Electronic accessories,66.35,1,3.3175,69.6675,Credit card,4.761904762,3.3175
729-09-9681,Yangon,Male,Home and lifestyle,25.91,6,7.773,163.233,Ewallet,4.761904762,7.773
